preparedfood
applepie
bananafoster
barbecue
beignet
biscuitschocgravy
blackberrycobbler
bostoncremecake
boundin
burgers
cajun
cake
candy
carljrchicken
cheesecake
cheesedip
chickenstrips
chickenwings
chili
chips
chocgravy 
chocolate gravy 
coleslaw
cornbread
countryfood
countryham
creole
donut
etouffee
fastfood
friedchicken
friedfish
friedfood
friedpickles
fries
gooeybuttercake
googoocluster
gravy
gumbo
hockeycheese
hotchicken
hotdogs
hushpuppies
icecream
italian
jambalaya 
kingcake
maccheese
madjacks
mashedpotatoes
mcdonald's
mexican
moonpie
mtndew
mudpie
nachos
nashvillehotchicken
pecanpie
pie
pimentocheese
pizza
pizzarolls
poboy
porkpie
possumpie
potpie
ravioli
redbeansrice
ribs
sandwiches
servicefooditems
skittles
smartfoodpopcorn
sodas
soulfood
soup
spaghetti
starchyfood
stlouispizza
sushi
tacos
toastedravioli
whiskey
pasta
boudin
smokedmeat
polksalad
snacks
chocgravy
coaco
mexicancorn
provel
biscuitgravy
sandwich
