Year,Period,State,County,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
2017,YEAR,MISSISSIPPI,TIPPAH,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,395",32.9
2017,YEAR,MISSISSIPPI,TISHOMINGO,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"9,700",32.9
2017,YEAR,MISSISSIPPI,UNION,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,COVINGTON,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,SMITH,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,FORREST,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,GEORGE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,700",32.9
2017,YEAR,MISSISSIPPI,JACKSON,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,PERRY,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,STONE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,ADAMS,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,270",32.9
2017,YEAR,MISSISSIPPI,CLAIBORNE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,337",32.9
2017,YEAR,MISSISSIPPI,COPIAH,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,HINDS,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,317",32.9
2017,YEAR,MISSISSIPPI,JEFFERSON,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,WARREN,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"9,212",32.9
2017,YEAR,MISSISSIPPI,BOLIVAR,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"13,680",32.9
2017,YEAR,MISSISSIPPI,COAHOMA,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"91,135",32.9
2017,YEAR,MISSISSIPPI,QUITMAN,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"25,186",32.9
2017,YEAR,MISSISSIPPI,TALLAHATCHIE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"44,082",32.9
2017,YEAR,MISSISSIPPI,TUNICA,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"33,434",32.9
2017,YEAR,MISSISSIPPI,ATTALA,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,CARROLL,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"45,719",35.2
2017,YEAR,MISSISSIPPI,CHOCTAW,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,HOLMES,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"97,233",35.2
2017,YEAR,MISSISSIPPI,LEAKE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"2,992",35.2
2017,YEAR,MISSISSIPPI,MADISON,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"10,534",35.2
2017,YEAR,MISSISSIPPI,MONTGOMERY,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"10,486",35.2
2017,YEAR,MISSISSIPPI,RANKIN,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"3,788",35.2
2017,YEAR,MISSISSIPPI,SCOTT,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"1,884",35.2
2017,YEAR,MISSISSIPPI,WEBSTER,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"13,143",35.2
2017,YEAR,MISSISSIPPI,CHICKASAW,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"3,508",35.2
2017,YEAR,MISSISSIPPI,CLAY,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,LOWNDES,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"28,314",35.2
2017,YEAR,MISSISSIPPI,MONROE,COTTON,"COTTON - PRODUCTION, MEASURED IN BALES",TOTAL,NOT SPECIFIED,"13,920",35.2
