"target_state","info_treatment","cornc1","cornc2","count"
0,"black",0,0,4
0,"black",0,1,20
0,"black",1,0,72
0,"black",1,1,128
0,"delta",0,0,20
0,"delta",0,1,30
0,"delta",1,0,75
0,"delta",1,1,82
1,"black",0,0,11
1,"black",0,1,35
1,"black",1,0,70
1,"black",1,1,114
1,"delta",0,0,16
1,"delta",0,1,33
1,"delta",1,0,87
1,"delta",1,1,111
