"mu_asc_1","mu_asc_2","sigma_asc_1","sigma_asc_2","b_p","logLike"
0,0,0,0,0,-629.377639948432
-0.00147851301019675,0.00147851301019674,0.0226004713339397,0.0852873170143073,-0.000870884146081674,-629.134027318891
-0.0099186926047712,0.00991869260477118,-0.203363209740887,0.023093713390179,-0.00587063875155675,-627.518106110227
-0.293274524600863,0.293274524600862,0.586752145694516,0.0104732049143217,-0.267719860254687,-571.680083634176
-0.537342153462335,0.537342153462369,0.318994191308132,0.00669637070244491,-0.985787576581018,-512.747203069966
-1.5989964765563,-0.248204947519288,0.22602459900132,0.0238347407100484,-1.60262150028374,-500.777532064181
-1.65354839673034,-0.289930027711328,0.222205762690359,0.02435303127904,-1.60753442223109,-500.761923291822
-1.65465986386218,-0.288821194712573,0.22147292529321,0.0282896557547645,-1.60401305691994,-500.759871478606
-1.65466521194349,-0.288815846631247,0.215422012407465,0.0831815976380154,-1.60371065227833,-500.757156870228
-1.65555730147185,-0.28792375710288,0.185481290983713,0.185983792557384,-1.60680203109108,-500.754508522013
-1.65830850478384,-0.285172553790896,0.100236131321185,0.245060414737975,-1.61644900812522,-500.752217084067
-1.65847687894623,-0.28500417962851,0.119909490683679,0.245516317996383,-1.61676571414291,-500.751946004945
-1.65904257887949,-0.284438479695248,0.132010993559095,0.245387149552771,-1.61852536083662,-500.751876045266
-1.66032074527702,-0.28316031329772,0.130043106636243,0.260628243454487,-1.62281975311528,-500.751814627211
-1.6568691508346,-0.279337653105775,0.134224952758104,0.258806552298724,-1.62340914810934,-500.751806386507
-1.66045744021865,-0.283073005847933,0.134107815070275,0.258063712210358,-1.62311111858346,-500.751806267089
-1.66084535138052,-0.283387960691013,0.134094772634524,0.258550446177909,-1.62324163112578,-500.751806199067
-1.66460975054588,-0.287154927792987,0.134063607294787,0.258536196384451,-1.62323747994119,-500.751806198458
