"target_state","info_treatment","ricec1","ricec2","count"
0,"black",0,0,4
0,"black",0,1,21
0,"black",1,0,116
0,"black",1,1,83
0,"delta",0,0,18
0,"delta",0,1,34
0,"delta",1,0,100
0,"delta",1,1,55
1,"black",0,0,8
1,"black",0,1,35
1,"black",1,0,118
1,"black",1,1,69
1,"delta",0,0,11
1,"delta",0,1,37
1,"delta",1,0,131
1,"delta",1,1,68
