"Product","Mean WTP ($)","SE","95% CI Lower","95% CI Upper","% Premium","LR Chi-sq","LR df","LR p-value"," "
"Corn",0.446,0.012,0.422,0.47,35.15,65.231,1,0,"***"
"Mater",1.221,0.014,1.194,1.248,22.1,170.878,1,0,"***"
"Melon",5.783,0.044,5.697,5.869,15.66,290.069,1,0,"***"
"Rice",2.022,0.015,1.993,2.051,15.54,291.531,1,0,"***"
"Tater",1.222,0.014,1.195,1.249,22.2,176.85,1,0,"***"
