"","target_state","race_b","Q58","n"
"1",0,0,1,193
"2",0,0,2,111
"3",0,1,1,38
"4",0,1,2,89
"5",1,0,1,245
"6",1,0,2,144
"7",1,1,1,32
"8",1,1,2,56
