"","target_state","race_b","Q59","n"
"1",0,0,1,110
"2",0,0,2,70
"3",0,0,3,29
"4",0,0,4,8
"5",0,0,5,4
"6",0,0,6,1
"7",0,0,7,82
"8",0,1,1,37
"9",0,1,2,28
"10",0,1,3,13
"11",0,1,4,6
"12",0,1,5,3
"13",0,1,6,1
"14",0,1,7,39
"15",1,0,1,133
"16",1,0,2,94
"17",1,0,3,52
"18",1,0,4,21
"19",1,0,5,2
"20",1,0,6,2
"21",1,0,7,85
"22",1,1,1,21
"23",1,1,2,16
"24",1,1,3,16
"25",1,1,4,6
"26",1,1,5,2
"27",1,1,6,3
"28",1,1,7,24
