"target_state","info_treatment","melonc1","melonc2","count"
0,"black",0,0,3
0,"black",0,1,20
0,"black",1,0,121
0,"black",1,1,80
0,"delta",0,0,18
0,"delta",0,1,35
0,"delta",1,0,108
0,"delta",1,1,46
1,"black",0,0,7
1,"black",0,1,39
1,"black",1,0,109
1,"black",1,1,75
1,"delta",0,0,9
1,"delta",0,1,37
1,"delta",1,0,124
1,"delta",1,1,77
