"target_state","info_treatment","taterc1","taterc2","count"
0,"black",0,0,2
0,"black",0,1,19
0,"black",1,0,89
0,"black",1,1,114
0,"delta",0,0,18
0,"delta",0,1,36
0,"delta",1,0,87
0,"delta",1,1,66
1,"black",0,0,5
1,"black",0,1,36
1,"black",1,0,90
1,"black",1,1,99
1,"delta",0,0,9
1,"delta",0,1,38
1,"delta",1,0,115
1,"delta",1,1,85
